Emotion,Timestamp
Angry,2023-11-18 08:32:37
Happy,2023-11-18 08:32:38
Happy,2023-11-18 08:32:39
Sad,2023-11-18 08:32:39
Happy,2023-11-18 08:32:39
Sad,2023-11-18 08:32:39
Sad,2023-11-18 08:32:39
Sad,2023-11-18 08:32:39
Sad,2023-11-18 08:32:40
Sad,2023-11-18 08:32:40
Happy,2023-11-18 08:32:40
Sad,2023-11-18 08:32:40
Sad,2023-11-18 08:32:40
Sad,2023-11-18 08:32:40
Sad,2023-11-18 08:32:40
Sad,2023-11-18 08:32:40
Sad,2023-11-18 08:32:40
Happy,2023-11-18 08:32:40
Angry,2023-11-18 08:32:41
Angry,2023-11-18 08:32:41
Angry,2023-11-18 08:32:41
Sad,2023-11-18 08:32:41
Happy,2023-11-18 08:32:41
Happy,2023-11-18 08:32:41
Happy,2023-11-18 08:32:41
Happy,2023-11-18 08:32:41
Happy,2023-11-18 08:32:41
Happy,2023-11-18 08:32:41
Sad,2023-11-18 08:32:42
Angry,2023-11-18 08:32:42
Sad,2023-11-18 08:32:42
Sad,2023-11-18 08:32:42
Happy,2023-11-18 08:32:42
Happy,2023-11-18 08:32:42
Happy,2023-11-18 08:32:42
Happy,2023-11-18 08:32:42
Happy,2023-11-18 08:32:42
Happy,2023-11-18 08:32:42
Sad,2023-11-18 08:32:43
Neutral,2023-11-18 08:32:43
Neutral,2023-11-18 08:32:43
Neutral,2023-11-18 08:32:43
Neutral,2023-11-18 08:32:43
Sad,2023-11-18 08:32:43
Sad,2023-11-18 08:32:43
Sad,2023-11-18 08:32:43
Sad,2023-11-18 08:32:43
Sad,2023-11-18 08:32:43
Sad,2023-11-18 08:32:44
Sad,2023-11-18 08:32:44
Sad,2023-11-18 08:32:44
Sad,2023-11-18 08:32:44
Neutral,2023-11-18 08:32:44
Neutral,2023-11-18 08:32:44
Neutral,2023-11-18 08:32:44
Neutral,2023-11-18 08:32:44
Neutral,2023-11-18 08:32:44
Neutral,2023-11-18 08:32:44
Neutral,2023-11-18 08:32:44
